Cell	Cluster	CellType	NumofReads
SRR1779646	4	H1-ESC	54350
SRR1779647	4	H1-ESC	26602
SRR1779648	4	H1-ESC	3516
SRR1779649	4	H1-ESC	31300
SRR1779650	4	H1-ESC	75588
SRR1779651	4	H1-ESC	2504
SRR1779652	4	H1-ESC	6474
SRR1779653	4	H1-ESC	37982
SRR1779654	4	H1-ESC	39682
SRR1779655	4	H1-ESC	18088
SRR1779656	4	H1-ESC	8184
SRR1779657	4	H1-ESC	34490
SRR1779658	4	H1-ESC	382594
SRR1779660	4	H1-ESC	21176
SRR1779661	4	H1-ESC	60386
SRR1779662	4	H1-ESC	28106
SRR1779663	4	H1-ESC	162848
SRR1779664	4	H1-ESC	14158
SRR1779665	4	H1-ESC	163584
SRR1779666	4	H1-ESC	59632
SRR1779667	4	H1-ESC	71168
SRR1779668	4	H1-ESC	4566
SRR1779669	4	H1-ESC	27120
SRR1779670	4	H1-ESC	57292
SRR1779671	4	H1-ESC	4354
SRR1779672	4	H1-ESC	4024
SRR1779673	4	H1-ESC	79188
SRR1779674	4	H1-ESC	25328
SRR1779675	4	H1-ESC	71044
SRR1779676	4	H1-ESC	169854
SRR1779677	4	H1-ESC	9360
SRR1779678	4	H1-ESC	61836
SRR1779679	4	H1-ESC	52192
SRR1779680	4	H1-ESC	46962
SRR1779681	4	H1-ESC	47442
SRR1779682	4	H1-ESC	80298
SRR1779683	2	GM12878	20872
SRR1779685	2	GM12878	6832
SRR1779686	2	GM12878	17310
SRR1779687	2	GM12878	6252
SRR1779688	2	GM12878	20450
SRR1779689	2	GM12878	319654
SRR1779690	2	GM12878	26550
SRR1779691	2	GM12878	3524
SRR1779692	2	GM12878	5882
SRR1779693	2	GM12878	7210
SRR1779694	2	GM12878	57618
SRR1779695	2	GM12878	5088
SRR1779696	2	GM12878	3322
SRR1779698	2	GM12878	5286
SRR1779701	2	GM12878	4128
SRR1779702	2	GM12878	4210
SRR1779704	2	GM12878	2384
SRR1779705	2	GM12878	7010
SRR1779706	2	GM12878	2358
SRR1779707	2	GM12878	13416
SRR1779708	2	GM12878	4924
SRR1779709	2	GM12878	27398
SRR1779710	2	GM12878	29856
SRR1779711	2	GM12878	7764
SRR1779712	2	GM12878	35578
SRR1779713	2	GM12878	19588
SRR1779714	2	GM12878	66000
SRR1779715	2	GM12878	86924
SRR1779716	2	GM12878	19998
SRR1779717	2	GM12878	30198
SRR1779718	2	GM12878	25252
SRR1779719	2	GM12878	44154
SRR1779721	2	GM12878	12128
SRR1779722	2	GM12878	23462
SRR1779723	2	GM12878	15598
SRR1779724	2	GM12878	15130
SRR1779728	2	GM12878	4782
SRR1779729	2	GM12878	15500
SRR1779731	2	GM12878	14052
SRR1779732	2	GM12878	20436
SRR1779733	2	GM12878	90704
SRR1779734	2	GM12878	21398
SRR1779735	2	GM12878	11172
SRR1779736	2	GM12878	16966
SRR1779737	2	GM12878	5750
SRR1779738	2	GM12878	27408
SRR1779740	2	GM12878	31662
SRR1779741	2	GM12878	84506
SRR1779742	2	GM12878	28580
SRR1779743	2	GM12878	34622
SRR1779744	2	GM12878	14960
SRR1779745	2	GM12878	51442
SRR1779746	2	GM12878	29942
SRR1779747	2	GM12878	9156
SRR1779749	2	GM12878	24210
SRR1779750	2	GM12878	16076
SRR1779751	2	GM12878	16618
SRR1779752	2	GM12878	13124
SRR1779753	2	GM12878	34126
SRR1779754	2	GM12878	4816
SRR1779755	2	GM12878	24890
SRR1779756	2	GM12878	4944
SRR1779757	2	GM12878	29568
SRR1779759	2	GM12878	2228
SRR1779760	2	GM12878	3794
SRR1779761	2	GM12878	2292
SRR1779762	2	GM12878	14242
SRR1779763	2	GM12878	5566
SRR1779764	2	GM12878	3254
SRR1779765	2	GM12878	5746
SRR1779766	2	GM12878	3496
SRR1779767	2	GM12878	27698
SRR1779768	2	GM12878	7904
SRR1779769	2	GM12878	72358
SRR1779770	2	GM12878	39966
SRR1779771	2	GM12878	9900
SRR1779772	2	GM12878	22558
SRR1779774	2	GM12878	28102
SRR1779776	2	GM12878	9510
SRR1779777	2	GM12878	4054
SRR1779779	2	GM12878	51410
SRR1779780	2	GM12878	26418
SRR1779781	2	GM12878	5876
SRR1779782	2	GM12878	20678
SRR1779783	2	GM12878	30906
SRR1779784	2	GM12878	3652
SRR1779785	2	GM12878	44890
SRR1779787	2	GM12878	21940
SRR1779788	2	GM12878	6292
SRR1779789	2	GM12878	33368
