Runs	UMAP1	UMAP2	CellType	NumofReads
SRR1779678	-2.70069194887765	-4.61294197748884	H1-ESC	61836
SRR1779679	-2.5246567830909	-3.8020293683885	H1-ESC	52192
SRR1779680	-2.4824673042167	-2.29460787485822	H1-ESC	46962
SRR1779681	-2.57175267790444	-1.73311721991285	H1-ESC	47442
SRR1779682	-2.72506238077767	-4.63526749323591	H1-ESC	80298
SRR1779683	-7.06318379496224	-11.0432064504503	GM12878	20872
SRR1779685	0.929842103971168	-12.0014889211534	GM12878	6832
SRR1779686	-0.621745645301417	-11.6282522649644	GM12878	17310
SRR1779687	0.0179633393418044	-12.4728348226426	GM12878	6252
SRR1779688	-1.34243692015298	-11.1943285436509	GM12878	20450
SRR1779689	-8.23011590098031	-11.4820930929063	GM12878	319654
SRR1779690	-0.906729410635307	-12.0206978292344	GM12878	26550
SRR1779691	0.515238632215187	-12.0405724019884	GM12878	3524
SRR1779692	1.39054380799644	-12.0437777013658	GM12878	5882
SRR1779693	0.704307545674965	-11.4059345693467	GM12878	7210
SRR1779694	-6.86151600931771	-11.5354273290513	GM12878	57618
SRR1779695	1.43926786328666	-12.6076137990831	GM12878	5088
SRR1779696	0.11877201939933	-12.4903442830919	GM12878	3322
SRR1779698	1.35090254689567	-12.0449335546373	GM12878	5286
SRR1779701	-0.655904813902453	-12.2389996023057	GM12878	4128
SRR1779702	1.65006922627799	-12.474674460399	GM12878	4210
SRR1779704	-0.0495132908690721	-12.5264151067613	GM12878	2384
SRR1779705	1.5384786024224	-12.6202490301011	GM12878	7010
SRR1779706	1.31011437322013	-12.602154967296	GM12878	2358
SRR1779707	-1.99946189974435	-11.9849235982774	GM12878	13416
SRR1779708	0.622854699147865	-11.5866167516588	GM12878	4924
SRR1779709	-1.45819229935296	-11.4946148366807	GM12878	27398
SRR1779710	-3.44583393190987	-12.1042997808336	GM12878	29856
SRR1779711	-1.71396018122323	-11.933396574962	GM12878	7764
SRR1779712	-0.745269830571488	-11.4508001775621	GM12878	35578
SRR1779713	1.3255594864022	-12.3036606283067	GM12878	19588
SRR1779714	-8.08026505564339	-10.6582968206285	GM12878	66000
SRR1779715	-3.32660032366402	-10.9316189260362	GM12878	86924
SRR1779716	1.41216539288871	-11.9630625219224	GM12878	19998
SRR1779717	0.32726024533622	-11.3303806753038	GM12878	30198
SRR1779718	-0.391466061817482	-12.2063772649644	GM12878	25252
SRR1779719	-2.23744608019479	-10.9187977285264	GM12878	44154
SRR1779721	-0.162430267082527	-12.4272224874376	GM12878	12128
SRR1779722	0.728068579686806	-11.6860449285386	GM12878	23462
SRR1779723	-2.55506850336678	-12.3009445638536	GM12878	15598
SRR1779724	-3.02932883356698	-12.2458860845445	GM12878	15130
SRR1779728	-0.111295740352944	-11.7789385290025	GM12878	4782
SRR1779729	0.196466614259407	-11.5118820638536	GM12878	15500
SRR1779731	0.836654533399269	-12.1001579732774	GM12878	14052
SRR1779732	0.686844457639381	-11.4546854467271	GM12878	20436
SRR1779733	-2.29734529112466	-11.7041838140367	GM12878	90704
SRR1779734	-0.972321073757485	-10.9954779119371	GM12878	21398
SRR1779735	0.419123877538368	-11.6972792119859	GM12878	11172
SRR1779736	-1.60756755922921	-11.6601355047105	GM12878	16966
SRR1779737	-0.0783141360152513	-12.4609920949815	GM12878	5750
SRR1779738	0.729470123304054	-11.6025898427842	GM12878	27408
SRR1779740	-8.3244524106849	-11.3843138189195	GM12878	31662
SRR1779741	-8.39062310312875	-11.4281303853868	GM12878	84506
SRR1779742	1.58199190045707	-12.6156055898546	GM12878	28580
SRR1779743	-1.82627690886147	-11.6275103063463	GM12878	34622
SRR1779744	1.10452639008872	-12.4308865041612	GM12878	14960
SRR1779745	-3.3485379323829	-10.7423412771104	GM12878	51442
SRR1779746	0.519474615110084	-11.6899950475572	GM12878	29942
SRR1779747	1.10204886342399	-11.9519188375352	GM12878	9156
SRR1779749	-3.60790277575143	-12.4407913656114	GM12878	24210
SRR1779750	-3.2230234250892	-12.4340889425157	GM12878	16076
SRR1779751	1.59709810162894	-12.4598352880357	GM12878	16618
SRR1779752	0.603716720594093	-11.7217562169908	GM12878	13124
SRR1779753	-4.59637762163766	-10.9881470174669	GM12878	34126
SRR1779754	1.29442845727317	-12.312393424022	GM12878	4816
SRR1779755	-1.35341561888345	-12.2301723928331	GM12878	24890
SRR1779756	-2.64987159823067	-12.3600847692369	GM12878	4944
SRR1779757	-1.35035414551385	-11.7753107519029	GM12878	29568
SRR1779759	1.2240699424874	-12.2219879598497	GM12878	2228
SRR1779760	1.33093129540794	-11.9619200200914	GM12878	3794
SRR1779761	-0.378339092480019	-12.3285496206163	GM12878	2292
SRR1779762	0.556789030088112	-11.5368511648057	GM12878	14242
SRR1779763	0.684072245610878	-12.4713013143419	GM12878	5566
SRR1779764	-2.56107426737435	-11.8319914312242	GM12878	3254
SRR1779765	1.50583456899039	-12.6838018865465	GM12878	5746
SRR1779766	-1.13525332068093	-11.9981214971422	GM12878	3496
SRR1779767	-4.28357673739083	-12.1454203100084	GM12878	27698
SRR1779768	0.364985753549263	-11.4460899801134	GM12878	7904
SRR1779769	-4.32577873324044	-11.7883093328355	GM12878	72358
SRR1779770	-4.0966360673774	-10.7723591298936	GM12878	39966
SRR1779771	-1.21731383656152	-11.8501036138414	GM12878	9900
SRR1779772	-2.03553999518044	-11.6466209859727	GM12878	22558
SRR1779774	-0.18331281398423	-11.8407642812608	GM12878	28102
SRR1779776	1.50904082204215	-12.3716328115342	GM12878	9510
SRR1779777	-8.10063696955331	-10.6836092443345	GM12878	4054
SRR1779779	-1.21172703360207	-11.4022715062974	GM12878	51410
SRR1779780	-5.35504103754647	-11.0202476949571	GM12878	26418
SRR1779781	-6.99210120295174	-10.9012443990587	GM12878	5876
SRR1779782	-4.61851502512582	-11.1280500860093	GM12878	20678
SRR1779783	-3.59953738306649	-12.2205097646592	GM12878	30906
SRR1779784	-5.18687440012582	-10.912867781627	GM12878	3652
SRR1779785	-2.27695954893716	-12.1746094198106	GM12878	44890
SRR1779787	1.31304251099937	-12.1461470098375	GM12878	21940
SRR1779788	-6.9822893247474	-10.7878801793931	GM12878	6292
SRR1779789	-3.96006656740792	-11.0350248784898	GM12878	33368
SRR1779790	-1.29637552355416	-12.178700682628	GM12878	15338
SRR1779791	-4.72818137262948	-10.8729994268297	GM12878	3806
SRR1779792	-4.03642750834115	-11.2849218816636	GM12878	6764
SRR1779793	-4.17108489130624	-10.8386585683702	GM12878	37032
SRR1779794	-8.56387473200448	-11.2268755407213	GM12878	172734
SRR1779795	-4.57078696344979	-11.5632479162095	GM12878	64188
SRR1779796	-5.6237778768409	-10.9498608083604	GM12878	29316
SRR1779797	-6.50037242029794	-10.8224737615465	GM12878	8590
SRR1779798	-3.50473095034249	-10.5832731695054	GM12878	43540
SRR1779799	-3.16961289499886	-12.4221556157945	GM12878	18248
SRR1779800	-7.60907174204476	-11.5238831014512	GM12878	319450
SRR1779801	-7.56202508066781	-10.51603054713	GM12878	50970
SRR1779802	0.194374014390633	-11.8010370702623	GM12878	17958
SRR1779803	0.619296421064064	-11.5579302282213	GM12878	6286
SRR1779804	-1.73259271238931	-11.0560991735338	GM12878	89520
SRR1779805	-0.0662667260039598	-11.3505623311876	GM12878	49858
SRR1779806	-1.40381897543557	-11.2921612233995	GM12878	31044
SRR1779807	-1.82612706278451	-11.6445219488023	GM12878	15708
SRR1779808	-5.33481455896981	-11.1969616384385	GM12878	48084
SRR1779809	-5.97427655314095	-11.4411184759019	GM12878	102078
SRR1779810	-1.47922868584283	-11.5733473272203	GM12878	36532
SRR1779811	-0.268842439400032	-11.4908964605211	GM12878	4692
SRR1779812	1.12881564046256	-11.8849232168077	GM12878	28530
SRR1779813	-5.22089959238656	-11.4077351064561	GM12878	43642
SRR1779814	-5.15150357340463	-11.531803366649	GM12878	200566
SRR1779815	-1.08804250811227	-11.7196190328477	GM12878	41250
SRR1779816	-3.69488502596505	-11.336942908275	GM12878	13014
SRR1779817	-1.24644971941598	-11.6375715703843	GM12878	27048
SRR1779818	-5.32260466669686	-11.2481615514634	GM12878	40242
SRR1779819	-4.86691666697152	-11.5657675237535	GM12878	5108
SRR1779820	-3.6367550001014	-10.8273870916246	GM12878	41866
SRR1779821	-8.00791932200082	-10.6779491872667	GM12878	63902
SRR1779822	-2.12761188601144	-11.56388210963	GM12878	4776
SRR1779823	-3.15663672541268	-11.4064428777574	GM12878	33750
SRR1779824	-1.93863202189095	-11.9836695165513	GM12878	4638
SRR1779825	-3.39250613306649	-11.2106039495347	GM12878	47398
SRR1779826	0.481041659368202	-11.3122293920396	GM12878	18456
SRR1779827	-5.25615168665536	-11.050056693065	GM12878	37112
SRR1779828	-4.79457951639779	-10.8019783468126	GM12878	78100
SRR1779829	1.34307764912955	-12.6370613546251	GM12878	3642
SRR1779830	-3.42144228075631	-10.7876455755113	GM12878	47740
SRR1779831	-1.48962540482171	-12.011633154857	GM12878	7594
SRR1779832	-2.51693070982583	-11.6049578161119	GM12878	35968
SRR1779833	1.25982545758598	-12.4845888585924	GM12878	10362
SRR1779834	-2.53297306154855	-12.2657787771104	GM12878	19972
SRR1779835	-4.13848472689278	-11.8842956991075	GM12878	31442
SRR1779836	1.14487992669456	-12.0194361181138	GM12878	12714
