Runs	UMAP1	UMAP2	CellType	NumofReads	SampleName	JC	Replicates
SRR6357774	-8.39219250439429	-2.63957356170392	Jurkat_T_cell	3554	GSM2879742	J	2
SRR6357776	-12.1297689890745	-0.63799213126874	Jurkat_T_cell	13286	GSM2879744	J	2
SRR6357777	-11.4477373576047	-0.00233595699644069	Jurkat_T_cell	4460	GSM2879745	J	2
SRR6357779	-8.79964031933569	-4.46678279594159	Jurkat_T_cell	15894	GSM2879747	J	2
SRR6357781	-8.55196251629614	-2.6325793142674	Jurkat_T_cell	1034	GSM2879749	J	2
SRR6357784	-11.2184158778074	0.778368425810576	Jurkat_T_cell	8808	GSM2879752	J	2
SRR6357786	-10.4099804377439	1.28903139873767	Jurkat_T_cell	32512	GSM2879754	J	2
SRR6357787	-10.9658638453367	0.112138060176611	Jurkat_T_cell	3446	GSM2879755	J	2
SRR6357788	-11.7328945612791	-0.338427561080217	Jurkat_T_cell	5592	GSM2879756	J	2
SRR6357789	-11.6967836832883	-1.75306616977429	Jurkat_T_cell	10242	GSM2879757	J	2
SRR6357790	-7.8878218150022	0.845353079283476	Jurkat_T_cell	1530	GSM2879758	J	2
SRR6357791	-7.4445787882688	0.0429890949966909	Jurkat_T_cell	78670	GSM2879759	J	2
SRR6357792	-9.36925472973608	-3.11876748756146	Jurkat_T_cell	2404	GSM2879760	J	2
SRR6357793	-9.54415096997046	-3.02468537048078	Jurkat_T_cell	2874	GSM2879761	J	2
SRR6357794	-4.74429764508032	0.0577195931913855	Jurkat_T_cell	6802	GSM2879762	J	2
SRR6357795	-3.98976864575171	-0.568823563611269	Jurkat_T_cell	14160	GSM2879763	J	2
SRR6357797	-11.0073954081418	1.15844680115008	Jurkat_T_cell	20812	GSM2879765	J	2
SRR6357799	-10.6638018107297	-3.01540492728925	Jurkat_T_cell	20508	GSM2879767	J	2
SRR6357800	-8.02472748516821	0.798681390726805	Jurkat_T_cell	1078	GSM2879768	J	2
SRR6357801	-8.07202210186743	-3.5754651899693	Jurkat_T_cell	1004	GSM2879769	J	2
SRR6357802	-8.58083882092261	-3.73586200431561	Jurkat_T_cell	2354	GSM2879770	J	2
SRR6357803	-7.46720137356543	-4.59715913490033	Jurkat_T_cell	11022	GSM2879771	J	2
SRR6357804	-5.9435645556333	-4.47584127143598	Jurkat_T_cell	10926	GSM2879772	J	2
SRR6357805	-9.94810929058814	1.1045360688808	Jurkat_T_cell	9948	GSM2879773	J	2
SRR6357806	-4.39946903942847	-2.29182766631818	Jurkat_T_cell	1702	GSM2879774	J	2
SRR6357807	-11.1279016947629	0.808063221419096	Jurkat_T_cell	4378	GSM2879775	J	2
SRR6357808	-9.72473397015357	-3.77774666503644	Jurkat_T_cell	9648	GSM2879776	J	2
SRR6357809	-9.70936646221899	-3.11232541755414	Jurkat_T_cell	3116	GSM2879777	J	2
SRR6357810	-9.6326719736936	-2.81260703757977	Jurkat_T_cell	3142	GSM2879778	J	2
SRR6357811	-4.97997393368506	-2.38116096214032	Jurkat_T_cell	136852	GSM2879779	J	2
SRR6357812	-7.73141064404273	0.902121735060454	Jurkat_T_cell	1094	GSM2879780	J	2
SRR6357813	-12.2562223887327	-0.531814264809847	Jurkat_T_cell	7662	GSM2879781	J	2
SRR6357815	-12.1605965113523	-0.417909520423174	Jurkat_T_cell	11544	GSM2879783	J	2
SRR6357816	-9.4508043742063	-4.02298449233747	Jurkat_T_cell	4232	GSM2879784	J	2
SRR6357817	-9.24655022381567	0.950916123831511	Jurkat_T_cell	2118	GSM2879785	J	2
SRR6357818	-6.87799610852026	-4.50089667991376	Jurkat_T_cell	23282	GSM2879786	J	2
SRR6357819	-12.1537367319944	-0.520701902663469	Jurkat_T_cell	7970	GSM2879787	J	2
SRR6357821	-10.900845191467	0.888361764395476	Jurkat_T_cell	18358	GSM2879789	J	2
SRR6357822	-8.5797220682981	-3.83285878852582	Jurkat_T_cell	1672	GSM2879790	J	2
SRR6357823	-10.7056366419675	-2.46884201720929	Jurkat_T_cell	18384	GSM2879791	J	2
SRR6357824	-6.58898939846777	-3.46947573379254	Jurkat_T_cell	45328	GSM2879792	J	2
SRR6357827	-11.7779814219358	-1.49230943874097	Jurkat_T_cell	19084	GSM2879795	J	2
SRR6357829	-8.34891762493872	-4.65810321525311	Jurkat_T_cell	3534	GSM2879797	J	2
SRR6357831	-11.9482304072263	-0.345215427434206	Jurkat_T_cell	8530	GSM2879799	J	2
SRR6357832	-11.5102297282102	-2.04131244376874	Jurkat_T_cell	8998	GSM2879800	J	2
SRR6357833	-8.28608860729956	0.962221157992125	Jurkat_T_cell	1286	GSM2879801	J	2
SRR6357834	-11.5018450236204	-0.0398931887244282	Jurkat_T_cell	3286	GSM2879802	J	2
SRR6357835	-7.29156126736426	-4.04805444434857	Jurkat_T_cell	69250	GSM2879803	J	2
SRR6357837	-6.19443478344702	-4.03240870193219	Jurkat_T_cell	48240	GSM2879805	J	2
SRR6357838	-12.0198275065305	-0.549904393708467	Jurkat_T_cell	6848	GSM2879806	J	2
