Cell	Cluster	CellType	NumofReads
SRR1779799	3	GM12878	18248
SRR1779800	3	GM12878	319450
SRR1779801	3	GM12878	50970
SRR1779802	3	GM12878	17958
SRR1779803	3	GM12878	6286
SRR1779804	3	GM12878	89520
SRR1779805	3	GM12878	49858
SRR1779806	3	GM12878	31044
SRR1779807	3	GM12878	15708
SRR1779808	3	GM12878	48084
SRR1779809	3	GM12878	102078
SRR1779810	3	GM12878	36532
SRR1779811	3	GM12878	4692
SRR1779812	3	GM12878	28530
SRR1779813	3	GM12878	43642
SRR1779814	3	GM12878	200566
SRR1779815	3	GM12878	41250
SRR1779816	3	GM12878	13014
SRR1779817	3	GM12878	27048
SRR1779818	3	GM12878	40242
SRR1779819	3	GM12878	5108
SRR1779820	3	GM12878	41866
SRR1779821	3	GM12878	63902
SRR1779822	3	GM12878	4776
SRR1779823	3	GM12878	33750
SRR1779824	3	GM12878	4638
SRR1779825	3	GM12878	47398
SRR1779826	3	GM12878	18456
SRR1779827	3	GM12878	37112
SRR1779828	3	GM12878	78100
SRR1779829	3	GM12878	3642
SRR1779830	3	GM12878	47740
SRR1779831	3	GM12878	7594
SRR1779832	3	GM12878	35968
SRR1779833	3	GM12878	10362
SRR1779834	3	GM12878	19972
SRR1779835	3	GM12878	31442
SRR1779836	3	GM12878	12714
SRR1779837	3	GM12878	167652
SRR1779838	3	GM12878	22280
SRR1779839	3	GM12878	22272
SRR1779840	3	GM12878	42784
SRR1779841	3	GM12878	10546
SRR1779842	3	GM12878	49466
SRR1779843	3	GM12878	18348
SRR1779844	3	GM12878	83780
SRR1779845	3	GM12878	10288
SRR1779846	3	GM12878	100748
SRR1779847	3	GM12878	213316
SRR1779848	3	GM12878	7162
SRR1779849	3	GM12878	53846
SRR1779850	3	GM12878	17262
SRR1779851	3	GM12878	166866
SRR1779852	3	GM12878	71220
SRR1779853	3	GM12878	48492
SRR1779854	3	GM12878	21812
SRR1779855	3	GM12878	16082
SRR1779857	3	GM12878	3810
SRR1779858	3	GM12878	66214
SRR1779859	3	GM12878	45878
SRR1779860	3	GM12878	50210
SRR1779861	3	GM12878	33034
SRR1779862	3	GM12878	21110
SRR1779863	3	GM12878	157760
SRR1779864	3	GM12878	78178
SRR1779865	3	GM12878	2902
SRR1779866	3	GM12878	74276
