Cell	Cluster	CellType	NumofReads
SRR5353611	1	HSC	10260
SRR5353613	1	HSC	8360
SRR5353614	1	HSC	9300
SRR5353615	1	HSC	61250
SRR5353616	1	HSC	7862
SRR5353617	1	HSC	14610
SRR5353618	1	HSC	12526
SRR5353619	1	HSC	22976
SRR5353620	1	HSC	26754
SRR5353621	1	HSC	7446
SRR5353622	1	HSC	20798
SRR5353623	1	HSC	33948
SRR5353624	1	HSC	6710
SRR5353625	1	HSC	10232
SRR5353626	1	HSC	8976
SRR5353628	1	HSC	30964
SRR5353629	1	HSC	11500
SRR5353630	1	HSC	91046
SRR5353631	1	HSC	21346
SRR5353632	1	HSC	13860
SRR5353633	1	HSC	10206
SRR5353634	1	HSC	60056
SRR5353635	1	HSC	8708
SRR5353636	1	HSC	17742
SRR5353637	1	HSC	8336
SRR5353638	1	HSC	44298
SRR5353639	1	HSC	23686
SRR5353640	1	HSC	51138
SRR5353641	1	HSC	14568
SRR5353642	1	HSC	30680
SRR5353643	1	HSC	10782
SRR5353644	1	HSC	20862
SRR5353645	1	HSC	7814
SRR5353646	1	HSC	7424
SRR5353647	1	HSC	10180
SRR5353652	1	HSC	18856
SRR5353653	1	HSC	15002
SRR5353654	1	HSC	11030
SRR5353655	1	HSC	27052
SRR5353656	1	HSC	34870
SRR5353657	1	HSC	11612
SRR5353658	1	HSC	93972
SRR5353659	1	HSC	9278
SRR5353660	1	HSC	30776
SRR5353661	1	HSC	590750
SRR5353662	1	HSC	4310
SRR5353663	1	HSC	9702
SRR5353665	1	HSC	9478
SRR5353666	1	HSC	13706
SRR5353667	1	HSC	20034
SRR5353668	1	HSC	21248
SRR5353669	1	HSC	13504
SRR5353670	1	HSC	8278
SRR5353671	1	HSC	5814
SRR5353674	1	HSC	8734
SRR5353675	1	HSC	11374
SRR5353676	1	HSC	5450
SRR5353677	1	HSC	42474
SRR5353678	1	HSC	19348
SRR5353679	1	HSC	35322
SRR5353680	1	HSC	8440
SRR5353681	1	HSC	15794
SRR5353683	1	HSC	3392
SRR5353684	1	HSC	34890
SRR5353685	1	HSC	16988
SRR5353686	1	HSC	13010
SRR5353687	1	HSC	24482
SRR5353688	1	HSC	7766
SRR5353689	1	HSC	28298
