Runs	UMAP1	UMAP2	CellType	NumofReads	SampleName	JC	Replicates
SRR6357774	-9.72881390913542	7.11236373996423	Jurkat_T_cell	3554	GSM2879742	J	2
SRR6357776	0.110860146440906	-9.87002284908606	Jurkat_T_cell	13286	GSM2879744	J	2
SRR6357777	-10.6403987632614	4.49185745334314	Jurkat_T_cell	4460	GSM2879745	J	2
SRR6357779	-0.54626514776762	-9.50660522365882	Jurkat_T_cell	15894	GSM2879747	J	2
SRR6357781	-8.07681634291227	7.51247779941247	Jurkat_T_cell	1034	GSM2879749	J	2
SRR6357784	0.646315656461163	-10.1777525701554	Jurkat_T_cell	8808	GSM2879752	J	2
SRR6357786	0.149567819990559	-9.85332019710852	Jurkat_T_cell	32512	GSM2879754	J	2
SRR6357787	-8.88368108137663	6.11074153995202	Jurkat_T_cell	3446	GSM2879755	J	2
SRR6357788	0.955771125711842	-9.31629617595984	Jurkat_T_cell	5592	GSM2879756	J	2
SRR6357789	-0.431794546685772	-9.64234741115882	Jurkat_T_cell	10242	GSM2879757	J	2
SRR6357790	-7.59712674482878	7.18040077304528	Jurkat_T_cell	1530	GSM2879758	J	2
SRR6357791	-8.86360528334196	6.97283451175378	Jurkat_T_cell	78670	GSM2879759	J	2
SRR6357792	-7.35052993162687	4.4641513071029	Jurkat_T_cell	2404	GSM2879760	J	2
SRR6357793	-10.3445680366379	5.27359001254724	Jurkat_T_cell	2874	GSM2879761	J	2
SRR6357794	-7.053365968309	7.57320873355554	Jurkat_T_cell	6802	GSM2879762	J	2
SRR6357795	0.383378349103374	-8.24696905994727	Jurkat_T_cell	14160	GSM2879763	J	2
SRR6357797	-0.0694536791663933	-10.0985074796708	Jurkat_T_cell	20812	GSM2879765	J	2
SRR6357799	-0.618404172502117	-9.6615320005448	Jurkat_T_cell	20508	GSM2879767	J	2
SRR6357800	-7.89229657515104	7.08471195316003	Jurkat_T_cell	1078	GSM2879768	J	2
SRR6357801	-7.22000529631193	7.53904525851892	Jurkat_T_cell	1004	GSM2879769	J	2
SRR6357802	-9.20740296705778	5.178163453099	Jurkat_T_cell	2354	GSM2879770	J	2
SRR6357803	0.293804742254658	-8.73383863354041	Jurkat_T_cell	11022	GSM2879771	J	2
SRR6357804	0.425375558294697	-9.17154844189002	Jurkat_T_cell	10926	GSM2879772	J	2
SRR6357805	0.760860346116466	-10.200293616298	Jurkat_T_cell	9948	GSM2879773	J	2
SRR6357806	-8.48381497725065	7.59324543094323	Jurkat_T_cell	1702	GSM2879774	J	2
SRR6357807	-7.03994920118864	5.41825477695153	Jurkat_T_cell	4378	GSM2879775	J	2
SRR6357808	0.57272607073967	-9.66955526256873	Jurkat_T_cell	9648	GSM2879776	J	2
SRR6357809	-9.44355275496061	6.37146751498864	Jurkat_T_cell	3116	GSM2879777	J	2
SRR6357810	-9.40739800795134	5.6682061395614	Jurkat_T_cell	3142	GSM2879778	J	2
SRR6357811	0.468860261001034	-8.75910909557654	Jurkat_T_cell	136852	GSM2879779	J	2
SRR6357812	-7.61996629103239	7.28726474857019	Jurkat_T_cell	1094	GSM2879780	J	2
SRR6357813	0.310884483017368	-9.75597770595862	Jurkat_T_cell	7662	GSM2879781	J	2
SRR6357815	0.150409169353886	-10.1879807271989	Jurkat_T_cell	11544	GSM2879783	J	2
SRR6357816	0.416605450071735	-9.38336046123816	Jurkat_T_cell	4232	GSM2879784	J	2
SRR6357817	-7.51445081099089	7.38784973239587	Jurkat_T_cell	2118	GSM2879785	J	2
SRR6357818	0.0882156266349983	-8.54239566707923	Jurkat_T_cell	23282	GSM2879786	J	2
SRR6357819	-7.6137759910446	4.86543838596032	Jurkat_T_cell	7970	GSM2879787	J	2
SRR6357821	0.450665838875217	-9.75825364971472	Jurkat_T_cell	18358	GSM2879789	J	2
SRR6357822	-9.3382461295944	4.75533001041101	Jurkat_T_cell	1672	GSM2879790	J	2
SRR6357823	-0.236168049417095	-10.0943299093278	Jurkat_T_cell	18384	GSM2879791	J	2
SRR6357824	0.676094330706043	-9.04402645016028	Jurkat_T_cell	45328	GSM2879792	J	2
SRR6357827	-0.623555205903606	-8.99339254284217	Jurkat_T_cell	19084	GSM2879795	J	2
SRR6357829	-10.2930124030929	4.47757141208337	Jurkat_T_cell	3534	GSM2879797	J	2
SRR6357831	-0.0223639236312676	-9.63781030559851	Jurkat_T_cell	8530	GSM2879799	J	2
SRR6357832	-0.0945504532676507	-9.56641586208655	Jurkat_T_cell	8998	GSM2879800	J	2
SRR6357833	-8.16410043104704	6.95239250278161	Jurkat_T_cell	1286	GSM2879801	J	2
SRR6357834	-9.79854276045378	3.92124359225915	Jurkat_T_cell	3286	GSM2879802	J	2
SRR6357835	-0.61646356447752	-8.32825477505042	Jurkat_T_cell	69250	GSM2879803	J	2
SRR6357837	0.159121937908573	-9.13868768596961	Jurkat_T_cell	48240	GSM2879805	J	2
SRR6357838	0.553983878203077	-9.85390861416175	Jurkat_T_cell	6848	GSM2879806	J	2
SRR6357840	0.203063674129887	-8.40654762173011	Jurkat_T_cell	25520	GSM2879808	J	2
SRR6357841	-10.1400420890671	4.97881214236901	Jurkat_T_cell	3778	GSM2879809	J	2
SRR6357842	-0.453867577157574	-8.98660333538367	Jurkat_T_cell	20968	GSM2879810	J	2
SRR6357843	0.895018674292011	-9.6290522375138	Jurkat_T_cell	39604	GSM2879811	J	2
SRR6357845	-8.81723000868376	7.36108200168298	Jurkat_T_cell	1404	GSM2879813	J	2
SRR6357846	0.754537187375469	-8.29452665233924	Jurkat_T_cell	32818	GSM2879814	J	2
SRR6357848	-7.70765855177458	7.67294494723962	Jurkat_T_cell	31314	GSM2879816	J	2
SRR6357849	1.13566581145708	-9.80632598781897	Jurkat_T_cell	12912	GSM2879817	J	2
SRR6357850	-0.560658715806561	-8.63462312603308	Jurkat_T_cell	23522	GSM2879818	J	2
SRR6357851	-9.16360833509977	6.81392662143396	Jurkat_T_cell	1724	GSM2879819	J	2
SRR6357852	-9.40437867506559	4.72581283664392	Jurkat_T_cell	4028	GSM2879820	J	2
