Runs	UMAP1	UMAP2	CellType	NumofReads	SampleName	JC	Replicates
SRR6357774	0.246562500872643	-2.57299328280333	Jurkat_T_cell	3554	GSM2879742	J	2
SRR6357776	-0.147696713528602	-3.08542013598326	Jurkat_T_cell	13286	GSM2879744	J	2
SRR6357777	-0.596709946713416	-2.44424915743712	Jurkat_T_cell	4460	GSM2879745	J	2
SRR6357779	1.04309131709579	-3.24785566759947	Jurkat_T_cell	15894	GSM2879747	J	2
SRR6357781	-0.373202542386024	-2.16273498965147	Jurkat_T_cell	1034	GSM2879749	J	2
SRR6357784	0.608150740542443	-1.67040968371275	Jurkat_T_cell	8808	GSM2879752	J	2
SRR6357786	-0.082281569561927	-2.89734650088194	Jurkat_T_cell	32512	GSM2879754	J	2
SRR6357787	0.1225292882109	-3.18086910677794	Jurkat_T_cell	3446	GSM2879755	J	2
SRR6357788	0.789577742495568	-2.74660206271055	Jurkat_T_cell	5592	GSM2879756	J	2
SRR6357789	-0.302884081921546	-3.3801670117462	Jurkat_T_cell	10242	GSM2879757	J	2
SRR6357790	2.00191976634506	0.783157105914323	Jurkat_T_cell	1530	GSM2879758	J	2
SRR6357791	1.83610584346298	-2.28799772692564	Jurkat_T_cell	78670	GSM2879759	J	2
SRR6357792	0.528894921221764	-2.08806944323424	Jurkat_T_cell	2404	GSM2879760	J	2
SRR6357793	-0.0324177542543098	-0.0205524010742022	Jurkat_T_cell	2874	GSM2879761	J	2
SRR6357794	-1.46303866299149	1.9292846875107	Jurkat_T_cell	6802	GSM2879762	J	2
SRR6357795	1.37874939052108	-1.13298273516539	Jurkat_T_cell	14160	GSM2879763	J	2
SRR6357797	-0.497864226422279	-3.38547182513121	Jurkat_T_cell	20812	GSM2879765	J	2
SRR6357799	-0.874250749669044	-0.392132763394148	Jurkat_T_cell	20508	GSM2879767	J	2
SRR6357800	1.11124684421066	-2.30520248843077	Jurkat_T_cell	1078	GSM2879768	J	2
SRR6357801	-0.318897227368323	-2.64949703646544	Jurkat_T_cell	1004	GSM2879769	J	2
SRR6357802	-0.354156712613074	-2.79797125292662	Jurkat_T_cell	2354	GSM2879770	J	2
SRR6357803	-0.338486651501624	-2.44913959933165	Jurkat_T_cell	11022	GSM2879771	J	2
SRR6357804	-1.10023913773057	-2.58373833132628	Jurkat_T_cell	10926	GSM2879772	J	2
SRR6357805	0.419438143649133	-3.0517602009857	Jurkat_T_cell	9948	GSM2879773	J	2
SRR6357806	-1.56911693008897	0.478710170260637	Jurkat_T_cell	1702	GSM2879774	J	2
SRR6357807	-1.17079351337907	-2.43327570391539	Jurkat_T_cell	4378	GSM2879775	J	2
SRR6357808	1.63496782390121	-2.11496544314268	Jurkat_T_cell	9648	GSM2879776	J	2
SRR6357809	-0.395125607571571	-3.03623581362608	Jurkat_T_cell	3116	GSM2879777	J	2
SRR6357810	-0.221551398358314	-2.56048107577208	Jurkat_T_cell	3142	GSM2879778	J	2
SRR6357811	0.559082766451867	-0.920900825985701	Jurkat_T_cell	136852	GSM2879779	J	2
SRR6357812	1.79530765620712	-1.59383631182554	Jurkat_T_cell	1094	GSM2879780	J	2
