Cell	Cluster	CellType	NumofReads
SRR5353527	1	HSC	17888
SRR5353528	1	HSC	44822
SRR5353529	1	HSC	19928
SRR5353530	1	HSC	3836
SRR5353531	1	HSC	20082
SRR5353532	1	HSC	4862
SRR5353533	1	HSC	161956
SRR5353534	1	HSC	5910
SRR5353535	1	HSC	25178
SRR5353536	1	HSC	9418
SRR5353538	1	HSC	23790
SRR5353539	1	HSC	69298
SRR5353540	1	HSC	47676
SRR5353541	1	HSC	52094
SRR5353542	1	HSC	8440
SRR5353543	1	HSC	25632
SRR5353544	1	HSC	3362
SRR5353545	1	HSC	10534
SRR5353546	1	HSC	7100
SRR5353547	1	HSC	6224
SRR5353548	1	HSC	4324
SRR5353549	1	HSC	3620
SRR5353550	1	HSC	54684
SRR5353551	1	HSC	14286
SRR5353552	1	HSC	56174
SRR5353553	1	HSC	73490
SRR5353554	1	HSC	7842
SRR5353555	1	HSC	11528
SRR5353556	1	HSC	8288
SRR5353557	1	HSC	20126
SRR5353558	1	HSC	14108
SRR5353559	1	HSC	26076
SRR5353560	1	HSC	18978
SRR5353561	1	HSC	124734
SRR5353562	1	HSC	28980
SRR5353563	1	HSC	36868
SRR5353564	1	HSC	34584
SRR5353565	1	HSC	377270
SRR5353566	1	HSC	21414
SRR5353567	1	HSC	148232
SRR5353568	1	HSC	12744
SRR5353570	1	HSC	27554
SRR5353571	1	HSC	12428
SRR5353572	1	HSC	30786
SRR5353574	1	HSC	26766
SRR5353577	1	HSC	8112
SRR5353578	1	HSC	9134
SRR5353579	1	HSC	28084
SRR5353580	1	HSC	11542
SRR5353585	1	HSC	8016
SRR5353586	1	HSC	8692
SRR5353591	1	HSC	13416
SRR5353592	1	HSC	13462
SRR5353593	1	HSC	53352
SRR5353594	2	HSC	10004
SRR5353595	1	HSC	13426
SRR5353596	1	HSC	57180
SRR5353597	1	HSC	45466
SRR5353598	1	HSC	14940
SRR5353599	1	HSC	6324
SRR5353600	1	HSC	3696
SRR5353601	1	HSC	23000
SRR5353602	1	HSC	51598
SRR5353603	1	HSC	35032
SRR5353604	1	HSC	11518
SRR5353605	1	HSC	20424
SRR5353607	1	HSC	8762
SRR5353608	1	HSC	23168
SRR5353609	1	HSC	13516
SRR5353610	1	HSC	11492
SRR5353611	1	HSC	10260
SRR5353613	1	HSC	8360
SRR5353614	1	HSC	9300
SRR5353615	1	HSC	61250
SRR5353616	1	HSC	7862
SRR5353617	1	HSC	14610
SRR5353618	1	HSC	12526
SRR5353619	1	HSC	22976
SRR5353620	1	HSC	26754
SRR5353621	1	HSC	7446
SRR5353622	1	HSC	20798
SRR5353623	1	HSC	33948
SRR5353624	1	HSC	6710
SRR5353625	1	HSC	10232
SRR5353626	1	HSC	8976
SRR5353628	1	HSC	30964
SRR5353629	1	HSC	11500
SRR5353630	1	HSC	91046
SRR5353631	1	HSC	21346
SRR5353632	1	HSC	13860
SRR5353633	1	HSC	10206
SRR5353634	1	HSC	60056
SRR5353635	1	HSC	8708
SRR5353636	1	HSC	17742
SRR5353637	1	HSC	8336
SRR5353638	1	HSC	44298
SRR5353639	1	HSC	23686
SRR5353640	1	HSC	51138
SRR5353641	1	HSC	14568
SRR5353642	1	HSC	30680
SRR5353643	1	HSC	10782
SRR5353644	1	HSC	20862
SRR5353645	1	HSC	7814
SRR5353646	1	HSC	7424
SRR5353647	1	HSC	10180
SRR5353652	1	HSC	18856
SRR5353653	1	HSC	15002
SRR5353654	1	HSC	11030
SRR5353655	1	HSC	27052
SRR5353656	1	HSC	34870
SRR5353657	1	HSC	11612
SRR5353658	1	HSC	93972
SRR5353659	1	HSC	9278
SRR5353660	1	HSC	30776
SRR5353661	1	HSC	590750
SRR5353662	1	HSC	4310
SRR5353663	1	HSC	9702
SRR5353665	1	HSC	9478
SRR5353666	1	HSC	13706
SRR5353667	1	HSC	20034
SRR5353668	1	HSC	21248
SRR5353669	1	HSC	13504
SRR5353670	1	HSC	8278
SRR5353671	1	HSC	5814
SRR5353674	1	HSC	8734
SRR5353675	1	HSC	11374
SRR5353676	1	HSC	5450
SRR5353677	1	HSC	42474
SRR5353678	1	HSC	19348
SRR5353679	1	HSC	35322
SRR5353680	1	HSC	8440
SRR5353681	1	HSC	15794
SRR5353683	1	HSC	3392
SRR5353684	1	HSC	34890
SRR5353685	1	HSC	16988
SRR5353686	1	HSC	13010
SRR5353687	1	HSC	24482
SRR5353688	1	HSC	7766
SRR5353689	1	HSC	28298
SRR5353690	1	HSC	15192
SRR5353692	1	HSC	32488
SRR5353693	1	HSC	120398
SRR5353694	1	HSC	33774
SRR5353695	1	HSC	9074
SRR5353696	1	HSC	48066
SRR5353697	1	HSC	8640
SRR5353698	1	HSC	11444
SRR5353699	1	HSC	11192
SRR5353700	1	HSC	7164
SRR5353701	1	HSC	36516
SRR5353702	1	HSC	28744
SRR5353703	1	HSC	33270
SRR5353704	1	HSC	40616
SRR5353705	1	HSC	22304
SRR5353706	1	HSC	31632
SRR5353707	1	HSC	10900
SRR5353708	1	HSC	45786
SRR5353709	1	HSC	9604
SRR5353710	1	HSC	4858
SRR5353711	1	HSC	16946
SRR5353712	1	HSC	10930
SRR5353713	1	HSC	30736
SRR5353714	1	HSC	21376
SRR5353715	1	HSC	40752
SRR5353716	1	HSC	32346
SRR5353717	2	HSC	8410
SRR5353719	2	HSC	5064
SRR5353720	2	HSC	23602
SRR5353721	2	HSC	13570
SRR5353722	2	HSC	12402
SRR5353723	2	HSC	27342
SRR5353724	2	HSC	10694
SRR5353725	1	HSC	9754
SRR5353727	1	HSC	23720
SRR5353728	2	HSC	46858
SRR5353729	1	HSC	20362
SRR5353730	1	HSC	23190
SRR5353731	1	HSC	13668
SRR5353732	1	HSC	31552
SRR5353734	1	HSC	16702
SRR5353735	1	HSC	4884
SRR5353736	1	HSC	14380
SRR5353737	1	HSC	50724
SRR5353738	1	HSC	15358
SRR5353740	1	HSC	30706
SRR5353743	1	HSC	17120
SRR5353744	1	HSC	48100
SRR5353745	1	HSC	6216
SRR5353746	1	HSC	26114
SRR5353747	1	HSC	30206
SRR5353749	1	HSC	44066
SRR5353750	1	HSC	12202
SRR5353751	1	HSC	33268
SRR5353752	1	HSC	4376
SRR5353753	1	HSC	15016
SRR5353756	1	HSC	31274
SRR5353757	1	HSC	92892
SRR5353758	1	HSC	137470
SRR5353759	1	HSC	14598
SRR5353760	1	HSC	9040
SRR5353762	1	HSC	5878
SRR5353775	1	HSC	7020
SRR5353780	1	HSC	18570
SRR5353791	1	HSC	6606
SRR5353796	1	HSC	6406
SRR5353797	1	HSC	6796
SRR5353798	1	HSC	3614
SRR5353799	1	HSC	6184
SRR5353803	1	HSC	9014
SRR5353804	1	HSC	36078
SRR5353805	1	HSC	10222
SRR5353807	1	HSC	18562
SRR5353808	1	HSC	3288
SRR5353809	1	HSC	11932
SRR5353810	4	HSC	5496
SRR5353811	1	HSC	47306
SRR5353812	4	HSC	33560
SRR5353813	4	HSC	6974
SRR5353814	4	HSC	21378
