Cell	Cluster	CellType	NumofReads
SRR1779752	2	GM12878	13124
SRR1779753	2	GM12878	34126
SRR1779754	2	GM12878	4816
SRR1779755	2	GM12878	24890
SRR1779756	2	GM12878	4944
SRR1779757	2	GM12878	29568
SRR1779759	2	GM12878	2228
SRR1779760	2	GM12878	3794
SRR1779761	2	GM12878	2292
SRR1779762	2	GM12878	14242
SRR1779763	2	GM12878	5566
SRR1779764	2	GM12878	3254
SRR1779765	2	GM12878	5746
SRR1779766	2	GM12878	3496
SRR1779767	2	GM12878	27698
SRR1779768	2	GM12878	7904
SRR1779769	2	GM12878	72358
SRR1779770	2	GM12878	39966
SRR1779771	2	GM12878	9900
SRR1779772	2	GM12878	22558
SRR1779774	2	GM12878	28102
SRR1779776	2	GM12878	9510
SRR1779777	2	GM12878	4054
SRR1779779	2	GM12878	51410
SRR1779780	2	GM12878	26418
SRR1779781	2	GM12878	5876
SRR1779782	2	GM12878	20678
SRR1779783	2	GM12878	30906
SRR1779784	2	GM12878	3652
SRR1779785	2	GM12878	44890
SRR1779787	2	GM12878	21940
SRR1779788	2	GM12878	6292
SRR1779789	2	GM12878	33368
SRR1779790	2	GM12878	15338
SRR1779791	2	GM12878	3806
SRR1779792	2	GM12878	6764
SRR1779793	2	GM12878	37032
SRR1779794	2	GM12878	172734
SRR1779795	2	GM12878	64188
SRR1779796	2	GM12878	29316
SRR1779797	2	GM12878	8590
SRR1779798	2	GM12878	43540
SRR1779799	2	GM12878	18248
SRR1779800	2	GM12878	319450
SRR1779801	2	GM12878	50970
SRR1779802	2	GM12878	17958
SRR1779803	2	GM12878	6286
SRR1779804	2	GM12878	89520
SRR1779805	2	GM12878	49858
SRR1779806	2	GM12878	31044
SRR1779807	2	GM12878	15708
SRR1779808	2	GM12878	48084
SRR1779809	2	GM12878	102078
SRR1779810	2	GM12878	36532
SRR1779811	2	GM12878	4692
SRR1779812	2	GM12878	28530
SRR1779813	2	GM12878	43642
SRR1779814	2	GM12878	200566
SRR1779815	2	GM12878	41250
SRR1779816	2	GM12878	13014
SRR1779817	2	GM12878	27048
SRR1779818	2	GM12878	40242
SRR1779819	2	GM12878	5108
