Cell	Cluster	CellType	NumofReads	SampleName	JC	Replicates
SRR6358270	2	Memory_T_cell	2888	GSM2880238	C	4
SRR6358272	2	Memory_T_cell	9050	GSM2880240	C	4
SRR6358273	2	Memory_T_cell	3572	GSM2880241	C	4
SRR6358274	2	Memory_T_cell	5698	GSM2880242	C	4
SRR6358275	2	Memory_T_cell	17724	GSM2880243	C	4
SRR6358276	2	Memory_T_cell	1290	GSM2880244	C	4
SRR6358278	2	Memory_T_cell	3708	GSM2880246	C	4
SRR6358279	1	Memory_T_cell	1260	GSM2880247	C	4
SRR6358280	2	Memory_T_cell	9068	GSM2880248	C	4
SRR6358281	2	Memory_T_cell	4684	GSM2880249	C	4
SRR6358283	2	Memory_T_cell	2918	GSM2880251	C	4
SRR6358285	2	Memory_T_cell	6468	GSM2880253	C	4
SRR6358286	2	Memory_T_cell	8296	GSM2880254	C	4
SRR6358288	2	Memory_T_cell	8938	GSM2880256	C	4
SRR6358289	2	Memory_T_cell	3508	GSM2880257	C	4
SRR6358290	2	Memory_T_cell	7234	GSM2880258	C	4
SRR6358291	2	Memory_T_cell	1530	GSM2880259	C	4
SRR6358293	2	Memory_T_cell	9428	GSM2880261	C	4
SRR6358294	2	Memory_T_cell	3240	GSM2880262	C	4
SRR6358296	1	Memory_T_cell	1522	GSM2880264	C	4
SRR6358299	2	Memory_T_cell	8410	GSM2880267	C	4
SRR6358300	2	Memory_T_cell	2320	GSM2880268	C	4
SRR6358304	2	Memory_T_cell	7348	GSM2880272	C	4
SRR6358305	2	Memory_T_cell	5966	GSM2880273	C	4
SRR6358306	2	Memory_T_cell	11854	GSM2880274	C	4
SRR6358308	2	Memory_T_cell	2450	GSM2880276	C	4
SRR6358309	1	Memory_T_cell	1356	GSM2880277	C	4
SRR6358310	2	Memory_T_cell	6092	GSM2880278	C	4
SRR6358312	2	Memory_T_cell	11666	GSM2880280	C	4
SRR6358314	2	Memory_T_cell	8324	GSM2880282	C	4
SRR6358315	2	Memory_T_cell	4526	GSM2880283	C	4
SRR6358317	2	Memory_T_cell	5090	GSM2880285	C	4
SRR6358318	2	Memory_T_cell	3274	GSM2880286	C	4
SRR6358319	2	Memory_T_cell	1332	GSM2880287	C	4
SRR6358320	2	Memory_T_cell	10776	GSM2880288	C	4
SRR6358321	2	Memory_T_cell	6796	GSM2880289	C	4
SRR6358323	2	Memory_T_cell	1258	GSM2880291	C	4
SRR6358324	2	Memory_T_cell	9994	GSM2880292	C	4
SRR6358325	2	Memory_T_cell	9542	GSM2880293	C	4
SRR6358327	2	Memory_T_cell	10606	GSM2880295	C	4
SRR6358328	2	Memory_T_cell	3488	GSM2880296	C	4
SRR6358329	2	Memory_T_cell	1678	GSM2880297	C	4
SRR6358331	1	Memory_T_cell	2312	GSM2880299	C	4
SRR6358332	2	Memory_T_cell	1504	GSM2880300	C	4
SRR6358333	2	Memory_T_cell	15484	GSM2880301	C	4
SRR6358334	2	Memory_T_cell	21920	GSM2880302	C	4
SRR6358335	2	Memory_T_cell	1000	GSM2880303	C	4
SRR6358336	1	Memory_T_cell	2496	GSM2880304	C	4
SRR6358338	2	Memory_T_cell	7816	GSM2880306	C	4
SRR6358340	2	Memory_T_cell	4306	GSM2880308	C	4
SRR6358341	2	Memory_T_cell	3034	GSM2880309	C	4
SRR6358342	2	Memory_T_cell	2848	GSM2880310	C	4
SRR6358343	2	Memory_T_cell	14242	GSM2880311	C	4
SRR6358344	2	Memory_T_cell	1368	GSM2880312	C	4
SRR6358346	2	Memory_T_cell	9718	GSM2880314	C	4
SRR6358347	2	Memory_T_cell	1302	GSM2880315	C	4
SRR6358637	1	Naive_T_cell	10096	GSM2880605	C	12
SRR6358639	1	Naive_T_cell	12764	GSM2880607	C	12
SRR6358640	1	Naive_T_cell	8980	GSM2880608	C	12
SRR6358642	1	Naive_T_cell	26022	GSM2880610	C	12
SRR6358643	1	Naive_T_cell	1244	GSM2880611	C	12
SRR6358644	1	Naive_T_cell	19542	GSM2880612	C	12
SRR6358646	1	Naive_T_cell	2802	GSM2880614	C	12
SRR6358647	1	Naive_T_cell	15226	GSM2880615	C	12
SRR6358648	1	Naive_T_cell	42662	GSM2880616	C	12
SRR6358649	1	Naive_T_cell	7216	GSM2880617	C	12
SRR6358650	1	Naive_T_cell	1596	GSM2880618	C	12
SRR6358652	1	Naive_T_cell	6494	GSM2880620	C	12
SRR6358653	1	Naive_T_cell	143276	GSM2880621	C	12
SRR6358654	1	Naive_T_cell	3778	GSM2880622	C	12
SRR6358655	1	Naive_T_cell	34092	GSM2880623	C	12
SRR6358656	1	Naive_T_cell	36322	GSM2880624	C	12
SRR6358658	1	Naive_T_cell	22506	GSM2880626	C	12
SRR6358659	2	Naive_T_cell	1454	GSM2880627	C	12
SRR6358660	2	Naive_T_cell	2468	GSM2880628	C	12
SRR6358662	1	Naive_T_cell	1610	GSM2880630	C	12
SRR6358663	1	Naive_T_cell	20914	GSM2880631	C	12
SRR6358664	1	Naive_T_cell	11050	GSM2880632	C	12
SRR6358665	2	Naive_T_cell	1996	GSM2880633	C	12
SRR6358666	1	Naive_T_cell	23472	GSM2880634	C	12
SRR6358669	1	Naive_T_cell	34300	GSM2880637	C	12
SRR6358670	1	Naive_T_cell	13268	GSM2880638	C	12
SRR6358671	1	Naive_T_cell	4348	GSM2880639	C	12
SRR6358672	1	Naive_T_cell	21644	GSM2880640	C	12
SRR6358673	2	Naive_T_cell	2258	GSM2880641	C	12
SRR6358674	1	Naive_T_cell	30936	GSM2880642	C	12
SRR6358676	1	Naive_T_cell	4190	GSM2880644	C	12
SRR6358677	1	Naive_T_cell	132112	GSM2880645	C	12
SRR6358678	1	Naive_T_cell	3590	GSM2880646	C	12
SRR6358679	1	Naive_T_cell	46140	GSM2880647	C	12
SRR6358680	1	Naive_T_cell	4420	GSM2880648	C	12
SRR6358682	1	Naive_T_cell	28166	GSM2880650	C	12
SRR6358683	1	Naive_T_cell	16526	GSM2880651	C	12
SRR6358684	1	Naive_T_cell	1892	GSM2880652	C	12
SRR6358685	1	Naive_T_cell	29146	GSM2880653	C	12
SRR6358686	1	Naive_T_cell	2006	GSM2880654	C	12
SRR6358687	1	Naive_T_cell	20052	GSM2880655	C	12
SRR6358688	1	Naive_T_cell	5000	GSM2880656	C	12
SRR6358689	1	Naive_T_cell	1310	GSM2880657	C	12
SRR6358690	1	Naive_T_cell	49410	GSM2880658	C	12
SRR6358691	1	Naive_T_cell	2356	GSM2880659	C	12
SRR6358692	1	Naive_T_cell	1292	GSM2880660	C	12
SRR6358693	1	Naive_T_cell	33262	GSM2880661	C	12
SRR6358694	1	Naive_T_cell	1370	GSM2880662	C	12
SRR6358695	1	Naive_T_cell	1464	GSM2880663	C	12
SRR6358696	1	Naive_T_cell	14644	GSM2880664	C	12
SRR6358697	1	Naive_T_cell	2044	GSM2880665	C	12
SRR6358698	1	Naive_T_cell	42990	GSM2880666	C	12
SRR6358699	1	Naive_T_cell	4934	GSM2880667	C	12
SRR6358700	1	Naive_T_cell	16308	GSM2880668	C	12
SRR6358701	1	Naive_T_cell	14076	GSM2880669	C	12
SRR6358702	1	Naive_T_cell	18604	GSM2880670	C	12
SRR6358703	1	Naive_T_cell	4652	GSM2880671	C	12
SRR6358704	1	Naive_T_cell	9488	GSM2880672	C	12
SRR6358705	2	Naive_T_cell	5380	GSM2880673	C	12
SRR6358706	1	Naive_T_cell	11478	GSM2880674	C	12
SRR6358707	1	Naive_T_cell	43118	GSM2880675	C	12
SRR6358708	2	Naive_T_cell	17364	GSM2880676	C	12
SRR6358709	1	Naive_T_cell	24576	GSM2880677	C	12
SRR6358710	1	Naive_T_cell	11938	GSM2880678	C	12
SRR6358711	1	Naive_T_cell	20750	GSM2880679	C	12
SRR6358713	1	Naive_T_cell	23188	GSM2880681	C	12
SRR6358714	2	Naive_T_cell	36574	GSM2880682	C	12
SRR6358715	1	Naive_T_cell	1618	GSM2880683	C	12
SRR6358716	1	Naive_T_cell	145488	GSM2880684	C	12
SRR6358717	1	Naive_T_cell	5130	GSM2880685	C	12
SRR6358718	1	Naive_T_cell	3102	GSM2880686	C	12
SRR6358719	1	Naive_T_cell	4642	GSM2880687	C	12
SRR6358720	1	Naive_T_cell	2488	GSM2880688	C	12
SRR6358721	1	Naive_T_cell	23972	GSM2880689	C	12
SRR6358722	1	Naive_T_cell	41624	GSM2880690	C	12
SRR6358723	1	Naive_T_cell	2584	GSM2880691	C	12
SRR6358724	1	Naive_T_cell	3048	GSM2880692	C	12
SRR6358725	1	Naive_T_cell	33912	GSM2880693	C	12
SRR6358726	1	Naive_T_cell	3470	GSM2880694	C	12
SRR6358727	1	Naive_T_cell	91816	GSM2880695	C	12
SRR6358728	2	Naive_T_cell	1552	GSM2880696	C	12
SRR6358729	1	Naive_T_cell	21616	GSM2880697	C	12
SRR6358730	1	Naive_T_cell	27304	GSM2880698	C	12
SRR6358731	1	Naive_T_cell	16210	GSM2880699	C	12
SRR6358732	1	Naive_T_cell	7642	GSM2880700	C	13
SRR6358733	1	Naive_T_cell	7396	GSM2880701	C	13
SRR6358735	1	Naive_T_cell	60450	GSM2880703	C	13
SRR6358736	1	Naive_T_cell	13034	GSM2880704	C	13
SRR6358739	1	Naive_T_cell	13764	GSM2880707	C	13
SRR6358740	2	Naive_T_cell	3642	GSM2880708	C	13
SRR6358741	2	Naive_T_cell	5070	GSM2880709	C	13
SRR6358743	2	Naive_T_cell	4054	GSM2880711	C	13
SRR6358744	1	Naive_T_cell	71834	GSM2880712	C	13
SRR6358745	1	Naive_T_cell	58512	GSM2880713	C	13
SRR6358748	1	Naive_T_cell	8268	GSM2880716	C	13
SRR6358749	1	Naive_T_cell	7494	GSM2880717	C	13
SRR6358750	1	Naive_T_cell	1342	GSM2880718	C	13
SRR6358753	2	Naive_T_cell	1392	GSM2880721	C	13
SRR6358754	1	Naive_T_cell	29454	GSM2880722	C	13
SRR6358755	1	Naive_T_cell	8268	GSM2880723	C	13
SRR6358758	1	Naive_T_cell	15396	GSM2880726	C	13
SRR6358759	1	Naive_T_cell	22146	GSM2880727	C	13
SRR6358760	1	Naive_T_cell	5792	GSM2880728	C	13
SRR6358761	1	Naive_T_cell	22312	GSM2880729	C	13
SRR6358762	1	Naive_T_cell	22426	GSM2880730	C	13
SRR6358765	2	Naive_T_cell	4938	GSM2880733	C	13
SRR6358766	1	Naive_T_cell	13276	GSM2880734	C	13
SRR6358767	1	Naive_T_cell	11472	GSM2880735	C	13
SRR6358769	1	Naive_T_cell	1624	GSM2880737	C	13
SRR6358770	1	Naive_T_cell	12012	GSM2880738	C	13
SRR6358771	1	Naive_T_cell	5056	GSM2880739	C	13
SRR6358773	1	Naive_T_cell	6674	GSM2880741	C	13
SRR6358777	1	Naive_T_cell	13056	GSM2880745	C	13
SRR6358778	1	Naive_T_cell	5656	GSM2880746	C	13
SRR6358779	1	Naive_T_cell	9334	GSM2880747	C	13
SRR6358781	1	Naive_T_cell	3552	GSM2880749	C	13
SRR6358782	1	Naive_T_cell	197662	GSM2880750	C	13
SRR6358783	1	Naive_T_cell	25148	GSM2880751	C	13
SRR6358784	1	Naive_T_cell	5356	GSM2880752	C	13
SRR6358785	1	Naive_T_cell	3028	GSM2880753	C	13
SRR6358786	1	Naive_T_cell	32776	GSM2880754	C	13
SRR6358787	2	Naive_T_cell	3938	GSM2880755	C	13
SRR6358789	1	Naive_T_cell	7690	GSM2880757	C	13
SRR6358791	1	Naive_T_cell	3092	GSM2880759	C	13
SRR6358792	1	Naive_T_cell	9298	GSM2880760	C	13
SRR6358794	1	Naive_T_cell	9016	GSM2880762	C	13
SRR6358795	1	Naive_T_cell	7566	GSM2880763	C	13
SRR6358796	2	Naive_T_cell	2584	GSM2880764	C	13
SRR6358798	2	Naive_T_cell	2064	GSM2880766	C	13
SRR6358799	1	Naive_T_cell	1878	GSM2880767	C	13
SRR6358800	1	Naive_T_cell	23578	GSM2880768	C	13
SRR6358802	1	Naive_T_cell	6398	GSM2880770	C	13
SRR6358804	1	Naive_T_cell	25062	GSM2880772	C	13
SRR6358805	1	Naive_T_cell	4296	GSM2880773	C	13
SRR6358806	1	Naive_T_cell	6654	GSM2880774	C	13
SRR6358807	1	Naive_T_cell	12886	GSM2880775	C	13
SRR6358810	2	Naive_T_cell	3080	GSM2880778	C	13
SRR6358812	1	Naive_T_cell	1206	GSM2880780	C	13
SRR6358813	1	Naive_T_cell	3852	GSM2880781	C	13
SRR6358815	1	Naive_T_cell	9110	GSM2880783	C	13
SRR6358817	1	Naive_T_cell	129966	GSM2880785	C	13
SRR6358818	1	Naive_T_cell	17120	GSM2880786	C	13
SRR6358821	1	Naive_T_cell	25964	GSM2880789	C	13
SRR6358823	1	Naive_T_cell	5290	GSM2880791	C	13
SRR6358824	1	Naive_T_cell	52488	GSM2880792	C	13
SRR6358825	1	Naive_T_cell	348398	GSM2880793	C	13
SRR6358826	1	Naive_T_cell	17826	GSM2880794	C	13
SRR6358827	1	Naive_T_cell	6312	GSM2880795	C	13
SRR6358828	1	Th17_T_cell	1270	GSM2880796	C	14
SRR6358832	1	Th17_T_cell	1542	GSM2880800	C	14
SRR6358836	1	Th17_T_cell	1352	GSM2880804	C	14
SRR6358838	1	Th17_T_cell	1016	GSM2880806	C	14
SRR6358840	1	Th17_T_cell	2944	GSM2880808	C	14
SRR6358842	1	Th17_T_cell	3596	GSM2880810	C	14
SRR6358843	1	Th17_T_cell	1202	GSM2880811	C	14
SRR6358845	1	Th17_T_cell	4386	GSM2880813	C	14
SRR6358847	1	Th17_T_cell	4332	GSM2880815	C	14
SRR6358849	1	Th17_T_cell	5878	GSM2880817	C	14
SRR6358850	1	Th17_T_cell	1806	GSM2880818	C	14
SRR6358853	1	Th17_T_cell	2486	GSM2880821	C	14
SRR6358854	1	Th17_T_cell	1280	GSM2880822	C	14
SRR6358855	1	Th17_T_cell	1286	GSM2880823	C	14
SRR6358857	1	Th17_T_cell	1798	GSM2880825	C	14
SRR6358858	1	Th17_T_cell	6808	GSM2880826	C	14
SRR6358859	1	Th17_T_cell	1016	GSM2880827	C	14
SRR6358860	1	Th17_T_cell	2010	GSM2880828	C	14
SRR6358861	1	Th17_T_cell	1664	GSM2880829	C	14
SRR6358862	1	Th17_T_cell	1920	GSM2880830	C	14
SRR6358865	1	Th17_T_cell	1898	GSM2880833	C	14
SRR6358866	1	Th17_T_cell	5746	GSM2880834	C	14
SRR6358869	1	Th17_T_cell	4110	GSM2880837	C	14
SRR6358871	2	Th17_T_cell	5108	GSM2880839	C	14
SRR6358873	1	Th17_T_cell	1012	GSM2880841	C	14
SRR6358874	2	Th17_T_cell	4094	GSM2880842	C	14
SRR6358875	2	Th17_T_cell	4350	GSM2880843	C	14
SRR6358879	1	Th17_T_cell	2224	GSM2880847	C	14
SRR6358880	1	Th17_T_cell	1114	GSM2880848	C	14
SRR6358885	1	Th17_T_cell	5544	GSM2880853	C	14
SRR6358887	1	Th17_T_cell	10350	GSM2880855	C	14
SRR6358888	1	Th17_T_cell	4430	GSM2880856	C	14
SRR6358890	1	Th17_T_cell	3834	GSM2880858	C	14
SRR6358891	1	Th17_T_cell	3068	GSM2880859	C	14
SRR6358892	2	Th17_T_cell	6740	GSM2880860	C	14
SRR6358895	1	Th17_T_cell	1218	GSM2880863	C	14
SRR6358896	1	Th17_T_cell	3272	GSM2880864	C	14
SRR6358900	1	Th17_T_cell	5178	GSM2880868	C	14
SRR6358901	1	Th17_T_cell	4704	GSM2880869	C	14
SRR6358904	1	Th17_T_cell	1546	GSM2880872	C	14
SRR6358905	1	Th17_T_cell	10914	GSM2880873	C	14
SRR6358906	1	Th17_T_cell	6470	GSM2880874	C	14
SRR6358907	1	Th17_T_cell	4226	GSM2880875	C	14
SRR6358908	1	Th17_T_cell	1606	GSM2880876	C	14
SRR6358911	1	Th17_T_cell	4462	GSM2880879	C	14
SRR6358912	1	Th17_T_cell	1016	GSM2880880	C	14
SRR6358913	1	Th17_T_cell	4158	GSM2880881	C	14
SRR6358915	1	Th17_T_cell	1268	GSM2880883	C	14
SRR6358916	1	Th17_T_cell	1216	GSM2880884	C	14
SRR6358917	1	Th17_T_cell	1262	GSM2880885	C	14
SRR6358918	1	Th17_T_cell	1854	GSM2880886	C	14
SRR6358919	1	Th17_T_cell	6108	GSM2880887	C	14
SRR6358920	1	Th17_T_cell	104216	GSM2880888	C	14
SRR6358923	1	Th17_T_cell	1350	GSM2880891	C	14
SRR6358924	1	Th17_T_cell	4066	GSM2880892	C	15
SRR6358925	1	Th17_T_cell	4010	GSM2880893	C	15
SRR6358926	1	Th17_T_cell	11702	GSM2880894	C	15
SRR6358927	2	Th17_T_cell	3428	GSM2880895	C	15
SRR6358928	2	Th17_T_cell	4122	GSM2880896	C	15
SRR6358929	2	Th17_T_cell	8410	GSM2880897	C	15
SRR6358930	1	Th17_T_cell	4354	GSM2880898	C	15
SRR6358931	1	Th17_T_cell	5216	GSM2880899	C	15
SRR6358932	1	Th17_T_cell	6468	GSM2880900	C	15
SRR6358933	1	Th17_T_cell	10940	GSM2880901	C	15
SRR6358934	1	Th17_T_cell	18834	GSM2880902	C	15
SRR6358935	1	Th17_T_cell	4318	GSM2880903	C	15
SRR6358936	2	Th17_T_cell	4104	GSM2880904	C	15
SRR6358937	1	Th17_T_cell	41386	GSM2880905	C	15
SRR6358938	1	Th17_T_cell	3918	GSM2880906	C	15
SRR6358939	1	Th17_T_cell	4364	GSM2880907	C	15
SRR6358940	1	Th17_T_cell	4736	GSM2880908	C	15
SRR6358941	1	Th17_T_cell	3838	GSM2880909	C	15
SRR6358942	1	Th17_T_cell	4204	GSM2880910	C	15
SRR6358943	1	Th17_T_cell	4334	GSM2880911	C	15
SRR6358944	1	Th17_T_cell	8026	GSM2880912	C	15
SRR6358945	1	Th17_T_cell	4124	GSM2880913	C	15
SRR6358946	1	Th17_T_cell	6004	GSM2880914	C	15
SRR6358947	1	Th17_T_cell	19394	GSM2880915	C	15
SRR6358948	1	Th17_T_cell	5814	GSM2880916	C	15
SRR6358949	1	Th17_T_cell	4224	GSM2880917	C	15
SRR6358950	1	Th17_T_cell	3550	GSM2880918	C	15
SRR6358951	1	Th17_T_cell	3986	GSM2880919	C	15
SRR6358952	1	Th17_T_cell	8992	GSM2880920	C	15
SRR6358953	1	Th17_T_cell	4670	GSM2880921	C	15
SRR6358954	1	Th17_T_cell	4106	GSM2880922	C	15
SRR6358955	1	Th17_T_cell	4488	GSM2880923	C	15
SRR6358956	1	Th17_T_cell	4442	GSM2880924	C	15
SRR6358957	1	Th17_T_cell	4634	GSM2880925	C	15
SRR6358958	1	Th17_T_cell	22372	GSM2880926	C	15
SRR6358959	1	Th17_T_cell	5616	GSM2880927	C	15
SRR6358960	1	Th17_T_cell	4434	GSM2880928	C	15
SRR6358961	1	Th17_T_cell	4848	GSM2880929	C	15
SRR6358962	1	Th17_T_cell	3890	GSM2880930	C	15
SRR6358963	1	Th17_T_cell	5190	GSM2880931	C	15
SRR6358964	1	Th17_T_cell	8086	GSM2880932	C	15
SRR6358965	1	Th17_T_cell	4206	GSM2880933	C	15
SRR6358966	1	Th17_T_cell	4022	GSM2880934	C	15
SRR6358967	1	Th17_T_cell	3428	GSM2880935	C	15
SRR6358968	1	Th17_T_cell	7002	GSM2880936	C	15
SRR6358970	1	Th17_T_cell	62524	GSM2880938	C	15
SRR6358971	1	Th17_T_cell	26720	GSM2880939	C	15
SRR6358972	1	Th17_T_cell	6204	GSM2880940	C	15
SRR6358973	1	Th17_T_cell	8932	GSM2880941	C	15
SRR6358974	1	Th17_T_cell	3976	GSM2880942	C	15
SRR6358975	1	Th17_T_cell	18156	GSM2880943	C	15
SRR6358976	1	Th17_T_cell	29696	GSM2880944	C	15
SRR6358977	1	Th17_T_cell	2380	GSM2880945	C	15
SRR6358978	1	Th17_T_cell	9954	GSM2880946	C	15
SRR6358979	1	Th17_T_cell	4206	GSM2880947	C	15
SRR6358980	1	Th17_T_cell	9120	GSM2880948	C	15
SRR6358981	1	Th17_T_cell	4428	GSM2880949	C	15
SRR6358982	1	Th17_T_cell	5166	GSM2880950	C	15
SRR6358983	1	Th17_T_cell	19634	GSM2880951	C	15
SRR6358984	2	Th17_T_cell	4446	GSM2880952	C	15
SRR6358985	1	Th17_T_cell	7876	GSM2880953	C	15
SRR6358986	1	Th17_T_cell	17144	GSM2880954	C	15
SRR6358987	1	Th17_T_cell	5476	GSM2880955	C	15
SRR6358988	1	Th17_T_cell	6666	GSM2880956	C	15
SRR6358989	1	Th17_T_cell	4288	GSM2880957	C	15
SRR6358990	1	Th17_T_cell	5566	GSM2880958	C	15
SRR6358991	1	Th17_T_cell	5302	GSM2880959	C	15
SRR6358992	1	Th17_T_cell	13380	GSM2880960	C	15
SRR6358993	1	Th17_T_cell	4016	GSM2880961	C	15
SRR6358994	1	Th17_T_cell	8072	GSM2880962	C	15
SRR6358995	1	Th17_T_cell	4280	GSM2880963	C	15
SRR6358996	1	Th17_T_cell	17944	GSM2880964	C	15
SRR6358997	1	Th17_T_cell	6794	GSM2880965	C	15
SRR6358998	1	Th17_T_cell	7210	GSM2880966	C	15
SRR6358999	1	Th17_T_cell	11892	GSM2880967	C	15
SRR6359000	1	Th17_T_cell	5716	GSM2880968	C	15
SRR6359001	1	Th17_T_cell	4730	GSM2880969	C	15
SRR6359002	2	Th17_T_cell	4224	GSM2880970	C	15
SRR6359003	2	Th17_T_cell	6272	GSM2880971	C	15
SRR6359004	2	Th17_T_cell	4912	GSM2880972	C	15
SRR6359005	2	Th17_T_cell	13760	GSM2880973	C	15
SRR6359006	1	Th17_T_cell	10948	GSM2880974	C	15
SRR6359007	1	Th17_T_cell	11464	GSM2880975	C	15
SRR6359008	1	Th17_T_cell	5206	GSM2880976	C	15
SRR6359009	1	Th17_T_cell	4886	GSM2880977	C	15
SRR6359010	1	Th17_T_cell	6062	GSM2880978	C	15
SRR6359011	1	Th17_T_cell	3938	GSM2880979	C	15
SRR6359012	1	Th17_T_cell	4486	GSM2880980	C	15
SRR6359013	1	Th17_T_cell	22412	GSM2880981	C	15
SRR6359014	1	Th17_T_cell	5954	GSM2880982	C	15
SRR6359015	1	Th17_T_cell	4974	GSM2880983	C	15
SRR6359016	1	Th17_T_cell	5930	GSM2880984	C	15
SRR6359017	1	Th17_T_cell	3936	GSM2880985	C	15
SRR6359018	1	Th17_T_cell	13990	GSM2880986	C	15
SRR6359019	1	Th17_T_cell	4554	GSM2880987	C	15
