Cell	Cluster	CellType	NumofReads	SampleName	JC	Replicates
SRR6357812	2	Jurkat_T_cell	1094	GSM2879780	J	2
SRR6357813	1	Jurkat_T_cell	7662	GSM2879781	J	2
SRR6357815	1	Jurkat_T_cell	11544	GSM2879783	J	2
SRR6357816	1	Jurkat_T_cell	4232	GSM2879784	J	2
SRR6357817	1	Jurkat_T_cell	2118	GSM2879785	J	2
SRR6357818	1	Jurkat_T_cell	23282	GSM2879786	J	2
SRR6357819	1	Jurkat_T_cell	7970	GSM2879787	J	2
SRR6357821	1	Jurkat_T_cell	18358	GSM2879789	J	2
SRR6357822	1	Jurkat_T_cell	1672	GSM2879790	J	2
SRR6357823	1	Jurkat_T_cell	18384	GSM2879791	J	2
SRR6357824	1	Jurkat_T_cell	45328	GSM2879792	J	2
SRR6357827	1	Jurkat_T_cell	19084	GSM2879795	J	2
SRR6357829	1	Jurkat_T_cell	3534	GSM2879797	J	2
SRR6357831	1	Jurkat_T_cell	8530	GSM2879799	J	2
SRR6357832	1	Jurkat_T_cell	8998	GSM2879800	J	2
SRR6357833	1	Jurkat_T_cell	1286	GSM2879801	J	2
SRR6357834	1	Jurkat_T_cell	3286	GSM2879802	J	2
SRR6357835	1	Jurkat_T_cell	69250	GSM2879803	J	2
SRR6357837	1	Jurkat_T_cell	48240	GSM2879805	J	2
SRR6357838	1	Jurkat_T_cell	6848	GSM2879806	J	2
SRR6357840	1	Jurkat_T_cell	25520	GSM2879808	J	2
SRR6357841	1	Jurkat_T_cell	3778	GSM2879809	J	2
SRR6357842	1	Jurkat_T_cell	20968	GSM2879810	J	2
SRR6357843	1	Jurkat_T_cell	39604	GSM2879811	J	2
SRR6357845	1	Jurkat_T_cell	1404	GSM2879813	J	2
SRR6357846	1	Jurkat_T_cell	32818	GSM2879814	J	2
SRR6357848	1	Jurkat_T_cell	31314	GSM2879816	J	2
SRR6357849	1	Jurkat_T_cell	12912	GSM2879817	J	2
SRR6357850	1	Jurkat_T_cell	23522	GSM2879818	J	2
SRR6357851	2	Jurkat_T_cell	1724	GSM2879819	J	2
SRR6357852	1	Jurkat_T_cell	4028	GSM2879820	J	2
SRR6357853	1	Jurkat_T_cell	20496	GSM2879821	J	2
SRR6357855	1	Jurkat_T_cell	14694	GSM2879823	J	2
SRR6357856	1	Jurkat_T_cell	65152	GSM2879824	J	2
SRR6357857	1	Jurkat_T_cell	36664	GSM2879825	J	2
SRR6357859	1	Jurkat_T_cell	1044	GSM2879827	J	2
